Episode,Date,Review
54,6일 전,잠만 이게 말이되네?
54,2022-10-08 13:45,중혁가 지혜 지켜주는거 왜케 설렘ㅠㅠ
54,2022-10-03 14:38,싫다면서 솔직히 희열느끼고 있을 것
54,2022-10-03 14:36,"아니, 왜 내 인생작에 페미를 가져와ㅡㅡ아 줫나 빡치네ㅡㅡ
여기서 싸워서 작품 더럽히지 말고 인생들 사쇼! "
54,2022-09-18 21:46,우와..빙의
54,2022-09-16 00:18,미틴
54,2022-09-12 23:15,와..
54,2022-08-31 07:43,어휴 냄새나는 인간들 개많네 여기가 쓰레기장이랑 다를 바가 뭐냐
54,2022-08-30 21:49,진짜 중혁이?? 온거야?? 빙의한거임 그럼??
54,2022-08-23 12:31,저 이쁜 개복치 오늘 따라 사람으로 보이지? 와 자기 동료 다치게 했다고 저러내... 젭알 또 개복치 처럼 그러다가 죽지말고 진짜 현명하게 판단해서 계속 살아줘...울 이쁜 개복치...!!
54,2022-08-17 19:46,롣록력향얻력 폭력성 ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ 하지만 
54,2022-08-16 16:51,문제! 이길영은 얼마나 강할까요? 약간 너프되기는 했지만 화염의 재앙 이그니르는 5등급입니다. 그런데 이길영이 조종했던 티타노는 7등급충왕종입니다. 심지어 그 이후에는 앤티누스(하나의 재앙)도 조종했습니다.
54,2022-08-11 22:20,내가 전독시에서 좋아하는 장면 중 하나 크으으 유중혁 개멋있어
54,2022-08-08 13:26,ㅁㅊ..시점변화 개쩐다
54,2022-08-02 17:39,크으으으
