Episode,Date,Review
112,"Jul 6, 2022","before dokja collapse he's thinking of his kids, waaaah😭😭😭"
112,"Jul 6, 2022",Dionysus taking ship matters into his own hands 
112,"Jul 6, 2022","Dionysus. God of wine, revelry, and... matchmaking?"
112,"Jul 6, 2022","Imagine being a god and deciding to wingman a mere mortal, and that mortal just blows it. Dokja sure is dense. Wheeze."
112,"Jul 6, 2022","mama Persephone and daddy hades are coming, I'm excited 😆😆"
112,"Jul 6, 2022","Ah, Dionysus. If you wish to submit a complaint about how frustrating our Dokja can be, please take a number and stand in that very long line over there... 😏 And meanwhile, an important question: does this side trip qualify for Dokja's death tally count, or not?? 🤔"
112,"Jul 6, 2022",It's so improbable that someone would want to kiss Dokja that it almost summons an outer god? Damn.
112,"Jul 6, 2022","FYI Dionysus is talking about Orpheus who played his lyre, attracting Hades. Hades told Orpheus that he could take his wife, Eurydice back with him but under one condition: she would have to follow behind him while walking out from the caves of the underworld, and he could not turn back to look at her as they walked. He ended up looking back at the last moment which led to him failing in bringing Eurydice back to life."
112,"Jul 6, 2022","So 2 things.1. Never expected that Dionysus is that hot
2. As I read the Novel for the first time I never noticed how early on Dokja didn't feel like something good can happen to him, its so tragic and sad"
112,"Jul 6, 2022","Uhm..how about *pushes Dokja aside* we drink instead, Yoo Sangah-ssi 🛐🥀"
112,"Jul 6, 2022","Fyi, based on a much informative translation from somewhere else (yes, I said what I said. I'm only reading here to support the series), the notes Dionysus were singing is written by a man dedicated to his female friend to commemorate their platonic relationship. Take that as you will ig 🤷‍♂️"
112,"Jul 6, 2022",Dionysus really said: kiss kiss & fall in love. Also Dokja maybe it could happen to you man. You're handsome. 
112,"Jul 6, 2022","Dionysus really out here trying to start a shipping war amongst the watching constellations. A good chunk already think he and JHY are together, so I can only imagine what the chats looked like when Sangah was sitting so close. Also, a parallel to Orpheus and Eurydice, let's GOOOOOOOO. I feel like Hades is either going to LOVE or LOATHE our boy Dokja. "
112,"Jul 6, 2022","MOMMY PERSEPHONE, HERE WE GOOO"
112,"Jul 7, 2022","Tbh I don't really ship dokja with anyone 🤷, I just picture him as a single father with two kids💓 , that he deeply cared about 💞"
112,"Jul 6, 2022","One drink with a booze god and he's out, what a light weight Dokja"
112,"Jul 6, 2022",Dionysus trying to break into the domain of the sea God to keep the ship afloat.
112,"Jul 6, 2022",Ah so he’s doing an Orpheus 
112,"Aug 10, 2022","people complaining about their DokSang moment being ruined because they didn't kiss,,,,,, My Siblings In Sin, i don't even ship them but even i can see that the fact that Dokja isn't taking advantage of Sangah when drunk is a point FOR the ship, not AGAINST"
112,"Jul 6, 2022","[Constellation ""Dragon of the Peach Tree"" would like to quote Sheldon Cooper, ' Wine and a girl in the dark. He's going to be bored out of his mind.' 5 coins have been sponsored.]"
112,"Jul 6, 2022",Dokja was got hit with the “Wake up to reality” treatment
112,"Aug 10, 2022",Dokja: rip to Orpheus but I'm different
112,"Jul 6, 2022","he either tryin to rob hades, make a deal, or get a supporting constellation."
112,"Jul 6, 2022","Oh shit this is getting interesting. I love how he said ""I like rude humans"" lol "
112,"Jul 6, 2022","It’s really fun that they took that dive into the complications with the story of Dionysus, the YouTube series “Overly Sarcastic Productions” has a super concise and engaging video on the topic which tl;dw the figure of Dionysus predates most of the Greek gods and his cult was so messy and rejected that most of what we know now comes in fragments and hopeful guessing"
112,"Jul 6, 2022",UNDERWORLD ARC ALREADY?? YALL KNOW WHO'S COMING NEXT 😍😍
112,"Jul 6, 2022",can't wait to see what kind of Hades we get to see. I enjoy all interpretations of the place and the god
112,"Jul 6, 2022",I CHOKED when he was saying Persephone is the mother. My mom had to ask if I was okay😭🤣
112,"Jul 6, 2022","I mean, once he's sober can he really Kiss her a drunk woman. thats not right "
112,"Aug 10, 2022","Ok, I just wanna say that Dokja not taking advantage of Sangah and kissing her while drunk is very commendable🥹"
112,"Jul 6, 2022",Persephone 😍
112,"Jul 6, 2022","Oh my! I often forget that Zagreus and Dionysius are the same figure, depending on the source! I really like the twist!"
112,"Jul 6, 2022",Not Dokja thinking he can't get game 💀💀💀
112,"Aug 10, 2022","DIONYSUS: NOW, KISS.FOURTH WALL: NOT IN MY PRESENCE"
112,"Jul 6, 2022",Time to meet an edgy teen next chapter 😂
112,"Jul 6, 2022",light weight huh. Dionysus making things interesting.
112,"Aug 10, 2022","Although I ship a different ship, I’ll say that Kim Dokja and Yu Sangah would be in such an adorable and sweet relationship and they could’ve been one had there not been an apocalypse and they just continued their office life (although it would also mean it would’ve been the end for WoS/TWSA in which we won’t know what Kim Dokja might do then 🥲). All that matters to me is having Kim Dokja get the love he deserves. ♡♡"
112,"Jul 6, 2022",Aah Dokja being sober and stop Sangah.. Best husband material indeed.. 
112,"Aug 10, 2022","""This can't happen to a guy like me"" Sure, let's say that monsters, demons, superpowers and magic are all perfectly logical and acceptable, but a girl falling in love with him? Nah, that's where we draw the line!"
112,"Jul 6, 2022",id let persephone hit tbh damn
112,"Aug 10, 2022","I'm not sure if people understood what Dionysus was trying to do at the start... It wasn't about ""shipping"" because that intells a relationship which is not what he wanted to watch. . ."
112,"Aug 10, 2022",Lore Olympus readers: I'm gonna pretend I didn't read that
112,"Aug 10, 2022",Growing up reading Percy Jackson it's really weird to see Dionysus this hot 
112,"Aug 10, 2022","Soooo…. Are we going to get myth accurate hades who is literally the most chill out of all Olympian gods?  Like literally, the only time he does something is if it’s someone trying to mess with this relationship to his wife. "
112,"Aug 8, 2022",I NEED SOME MORE DOKJA X SANGAH 😭😭
112,"Jul 7, 2022","lol Dokja and Yoo Sangah with their near kiss experience💀also, Gilyoung and Yoosung's cute•3•"
112,"Aug 17, 2022",orv doing straight baiting 😭😂😂😂
112,"Aug 10, 2022","THE ART IS PRETTY,DOKJA IS PRETTY,SANGAH IS  PRETTY,EVERYTHING IS SO PRETTYYY ASSJGDHGDSGHJKFD"
112,"Aug 10, 2022",Guys let's ensure this series maintains the  9.90 rating or increase it. This series deserves all the support 
112,"Aug 10, 2022",YES YES I LOVE IT WHEN MEN RESPECT WOMEN'S BOUNDARIES AND DON'T DO ANYTHING TO THEM WHEN THEY'RE DRUNK
112,"Jul 6, 2022",... Is that why we haven't seen him in Lore Olympus yet?
112,"Aug 12, 2022",Seeing how many comments are disappointed how he didn’t take advantage of a drunk girl makes me feel a little squicked out
112,"Aug 10, 2022",I'm sorry but as a percy jackson fan I cannot think of mr d as anything other than a middle aged alcoholic manhe cannot be hot
112,"Aug 10, 2022",mr D lookin different 
112,"Aug 17, 2022",Goddamn Kim Dokja is so fucking pretty 
112,"Aug 16, 2022","Not being funny but Dionysus can top me any day 🥴 He's a bit of a daddy, yes sir 🧎🏾‍♀️"
112,"Aug 13, 2022",Also Dokja being concerned for his kids is 😩💖
112,"Aug 11, 2022",I love the drawing of Persephone so much! I want it as a print 
112,"Aug 11, 2022",Dokja just cock blocked himself. ☠
112,"Aug 11, 2022","man yall simp almost as hard as dionysus, the horny drunk god"
