Episode,Date,Review
102,"Apr 27, 2022","The catastrophe wondering just who the heck Kim Dokja is, is just me reacting to relatives who—apparently, watched me grow up."
102,"Apr 27, 2022",nooo titano also got turned into a donut😭😭
102,"Apr 27, 2022","it's fun to see how baby Gilyeong is growing up. He's not your ordinary crybaby, he's so mature despite of his age"
102,"Apr 27, 2022","Huh, so it looks like dokjas actions can hurt/shake the fourth wall, but it hurts dokja.  I wonder if he “broke the fourth wall” that would end up in his death?"
102,"Apr 27, 2022","honestly this chapter left me awestruck- I had a feeling dokja would possess the catastrophe yuseung, but having her meet her child self, sharing their memories is kind of emotional "
102,"Apr 27, 2022",OH MY GOSH!!! I wasnt expecting him to take control of HER. But all of them fighting because they love Dokja just AHHH😭😭Now she'll care about him too because of the memories of younger her right...? Interesting [no spoilers in the replies please I just wanna theorize :') ]
102,"Apr 27, 2022",Her reaction is basically that feeling when the adaption changes from the original source material.
102,"Apr 27, 2022","“Tell me who Dokja is!” while strangling Gilyeong. Gee, I wonder why he couldn’t answer you? 🙄"
102,"Apr 27, 2022","I love these last couple chapters, how they didn't  show what Dokja was doing until he performed his most direct intervention. Then it recapped his previous interventions so we could see his journey. I love this, and want to do something like this in my writing, but It's different in the written word than a web comic."
102,"Apr 27, 2022",only thing I hate about fast pass is that I can't fast pass after all the fast passes 🥲
102,"Apr 27, 2022",Precious children avenging their dad ♥️
102,"Apr 27, 2022","[Constellation ""Dragon of the Peach Tree"" is shedding a tear for our fallen Titano. Also wonders now what will both young and old Shin will do as they have received each other's memories. 5 coins sponsored]"
102,"Apr 27, 2022",I feel so bad for her she just wanted someone to care about her 😔 
102,"Apr 30, 2022","This just makes me realize how much Dokja has accomplished along the way. How much he's influenced all the characters and how he's managed to change the storyline SO MUCH, it's almost unrecognizable. So many people love him.  Reading ORV continously, I missed all these small affection points, but now that I see, Dokja literally has a whole ARMY of (strong) people, who are not his followers (as in Junghyeok's case), but his companions (like Hyeonseong said). "
102,"Apr 27, 2022",By far my fav comic on WEBTOON no question 
102,"Apr 27, 2022","so Yueseung saw how Dokja saved her younger self,  unlike Junyeok did for her"
102,"Apr 27, 2022","R.I.P. Titano, you will not be forgotten😭😭"
102,"Apr 27, 2022","""Where is Dokja!?"" THIS REALLY IS ODD FOR ME. I NEED THE ""Dokja-hyung"" !"
102,"Apr 27, 2022","Omg, Dokja's stare with the glowing eye near the beginning gave me chills! ❤️"
102,"Apr 27, 2022",wait..... is the catastrophes past being overwritten? are the films connecting? or are they just sharing memories? this is so interesting
102,"Apr 27, 2022","41st shin yoosung's thoughts left bawling yk. if i too were in her shoes ain't no way i'd be sane. yeah, maybe she should've only killed yoo joonghyuk and not the others as well, but as i stated before, no way my mind would still be able to think rational. i'm not saying she was right for going crazy and killed everyone, but i can see where it's coming from"
102,"Apr 27, 2022",The reader is now controlling the characters~
102,"Apr 27, 2022",I love all these characters and the growth they’ve all made and the bond they all share now😭😭
102,"Apr 27, 2022",She seems to like making doughnuts...
102,"Apr 27, 2022",who is dokja you ask? well he's the new Mc didn't you know?
102,"Apr 27, 2022",Leaving us blue balled like this should be illegal
102,"Apr 28, 2022",This crazy build-up is exactly why this has to be my favorite thing to read on here. Simply amazing.
102,"Apr 27, 2022",I am feeling Dokja pain and how much a story like this means to people. I am about to be evicted [I hope not] from my place of residence. I feel the need for this story. Thank you for this amazing read.
102,"Apr 27, 2022","this has rapidly become my favorite read, it has amazing characters, funny Constilations, I love the dynamic between him and his dokebi I forget how to spell forgive me, he plays everyone and it's freaking amazing how well it's being put together. thank you 🙏 "
102,"Apr 27, 2022","This episode and the last one are some of my favorite pieces of storytelling ever. I already am so invested in this story, and so far we've rarely seen things that are a death threat to the entire cast. The two other catastrophes Dokja fought were very powerful (the dragon and the question guy), but Dokja mostly fought those alone or with a couple allies. This is a threat that completely trumps everything else, and the writing completely sells it. I'm the previous powerful fights, we've seen..."
102,"Apr 27, 2022",I love when dokja gets to play god mode omg
102,"Jun 1, 2022",I HATE THAT THEY DROPPED HONORIFICS IN THE TRANSLATION 😭 He was supposed to say Dokja Hyung!! It’s so much more meaningful that way 😭😭
102,"Jun 1, 2022",Everyone asking about Dokja and fighting for him instead of Junghyeok must've truly messed up Yuseung. Seeing that everyone's following a different person than the one she thought... and now knowing that he saved her in this timeline... Idk what'll happen to her but I feel bad for Catastrophe Yuseung
102,"Apr 27, 2022",alright this is as far as i can go. no more fastpass next week. i'm running out of coins.
102,"Apr 27, 2022",It's incredible how emotionally charged the author was able to make this episode. Full of suspense and admiration for Dokja from his companions! What an incredible Webtoon.
102,"May 2, 2022",I love when we get to see from an outside perspective. how the protagonist has affected the world. and seeing her struggling and asking who he is is she seeing a completely different world from her own is amazing.
102,"Apr 28, 2022",dude wtf man this series is just wow
102,"May 3, 2022",I can't believe the homie Titano got the Rengoku treatment. Rip to the OG. 
102,"Apr 28, 2022",Man.. Gilyeong face when he was asking bout Dokja.... He's got all my sympathys this week. Just like he lost his closest friend or even a member of his family. And Yueseung expression when Dokja starts to mess with her... Damn!! This is priceless. I hope now that damn catastrophe will get how big is Dokja's role in this round 
102,"Apr 27, 2022",This is top notch writing! holy shit!
102,"Jun 1, 2022",I still really feel for Yuseung... Junghyeok treated her like trash and deserved to be beat up :/ But I'm glad Dokja could get a handle on her before she killed his party members.
102,"Apr 27, 2022",the art was incredible. The production team is doing a phenomenal job
